nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,telepon,kondisi_lingkungan,latitude,longitude
SDS Unwanus Saadah,Jl. Plumpang Semper,Tugu Utara,K o j a,236,8,(021) 43902900,Banjir,-6.12966,106.90435
SDN Kalideres 05 Pg.,Jl. Peta Barat Rt. 004/ 07,Kalideres,Kalideres,341,15,(021) 5458889,Banjir,-6.143182,106.69265
SDN Kalideres 13 Pt.,Jl. Peta Barat Rt. 004/07,Kalideres,Kalideres,329,13,(021) 54376435,Banjir,-6.136077,106.692001
SDN Kalideres 14 Pt.,Jl. Peta Barat,Kalideres,Kalideres,339,13,(021) 54380803,Banjir,-6.142971,106.692986
SDN Kamal 06 Pg.,Jl. Bakti Pramuka,Kamal,Kalideres,433,15,(021) 98182132,Banjir,-6.100449,106.708122
SDN Pegadungan 05 Pg.,Jl. Peta Utara III No.47,Pegadungan,Kalideres,372,15,(021) 5447636,Banjir,-6.139718,106.700829
SDN Pegadungan 07 Pg.,Jl. Irigasi Rawa Lele,Pegadungan,Kalideres,282,11,(021) 54398394,Banjir,-6.136379,106.692505
SDN Pegadungan 13 Pg.,Jl. Utan Jati,Pegadungan,Kalideres,377,15,(021) 5449923,Banjir,-6.144228,106.713737
SDN Pegadungan 14 Pg.,Jl. Utan Jati,Pegadungan,Kalideres,326,12,(021) 5408120,Banjir,-6.144399,106.713402
SDN Pegadungan 15 Pt.,Jl. Irigasi,Pegadungan,Kalideres,350,11,(021) 54395690,Banjir,-6.13648,106.692703
SDN Semanan 08 Pg.,Jl. Semanan No. 55,Semanan,Kalideres,380,14,(021) 54399279,Banjir,-6.167528,106.704048
SDN Semanan 13 Pt.,Jl. Raya Semanan No. 55,Semanan,Kalideres,380,17,(021) 54372914,Banjir,-6.167469,106.704056
SDN Tegal Alur 06 Pg.,Jl. Lingkungan III,Tegal Alur,Kalideres,304,12,(021) 5550501,Banjir,-6.105843,106.70887
SDN Tegal Alur 07 Pg.,Jl. Lingkungan III Rt.01/03,Tegal Alur,Kalideres,279,13,(021) 55960638,Banjir,-6.105821,106.70887
SDN Tegal Alur 11 Pg.,Komp. Kebersihan,Tegal Alur,Kalideres,250,11,(021) 55960614,Banjir,-6.127425,106.719559
